Code,Name
AUS,Australia
AUT,Austria
BLR,Belarus
BEL,Belgium
BGR,Bulgaria
CAN,Canada
HRV,Croatia
CYP,Cyprus
CZE,Czechia
DNK,Denmark
EST,Estonia
EUU,European Union
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ITA,Italy
JPN,Japan
LVA,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MLT,Malta
MCO,Monaco
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
ROU,Romania
RUS,Russia
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Turkey
UKR,Ukraine
GBR,United Kingdom
USA,United States
