Code,Name,Region
AUS,Australia,ANUZ
NZL,New Zealand,ANUZ
BRA,Brazil,BRA
CAN,Canada,CAN
ARM,Armenia,CAS
AZE,Azerbaijan,CAS
GEO,Georgia,CAS
KAZ,Kazakhstan,CAS
KGZ,Kyrgyzstan,CAS
TJK,Tajikistan,CAS
TKM,Turkmenistan,CAS
UZB,Uzbekistan,CAS
CHN,China,CHN
CHN,China,CHN
CHN,China,CHN
HKG,Hong Kong,CHN
MAC,Macau,CHN
ALB,Albania,EEU
BIH,Bosnia & Herzegovina,EEU
HRV,Croatia,EEU
MNE,Montenegro,EEU
MKD,North Macedonia,EEU
SRB,Serbia,EEU
BLR,Belarus,EEU-FSU
MDA,Moldova,EEU-FSU
UKR,Ukraine,EEU-FSU
ISL,Iceland,EFTA
NOR,Norway,EFTA
CHE,Switzerland,EFTA
CYP,Cyprus,EU12-H
CZE,Czechia,EU12-H
EST,Estonia,EU12-H
HUN,Hungary,EU12-H
MLT,Malta,EU12-H
POL,Poland,EU12-H
SVK,Slovakia,EU12-H
SVN,Slovenia,EU12-H
BGR,Bulgaria,EU12-M
LVA,Latvia,EU12-M
LTU,Lithuania,EU12-M
ROU,Romania,EU12-M
AUT,Austria,EU15
BEL,Belgium,EU15
DNK,Denmark,EU15
FIN,Finland,EU15
FRA,France,EU15
DEU,Germany,EU15
GRC,Greece,EU15
IRL,Ireland,EU15
ITA,Italy,EU15
LUX,Luxembourg,EU15
NLD,Netherlands,EU15
PRT,Portugal,EU15
ESP,Spain,EU15
SWE,Sweden,EU15
GBR,United Kingdom,EU15
IDN,Indonesia,IDN
IND,India,IND
JPN,Japan,JPN
KOR,South Korea,KOR
BLZ,Belize,LAM-L
GTM,Guatemala,LAM-L
HTI,Haiti,LAM-L
HND,Honduras,LAM-L
NIC,Nicaragua,LAM-L
ATG,Antigua & Barbuda,LAM-M
ARG,Argentina,LAM-M
BHS,Bahamas,LAM-M
BRB,Barbados,LAM-M
BMU,Bermuda,LAM-M
BOL,Bolivia,LAM-M
CHL,Chile,LAM-M
COL,Colombia,LAM-M
CRI,Costa Rica,LAM-M
CUB,Cuba,LAM-M
DMA,Dominica,LAM-M
DOM,Dominican Republic,LAM-M
ECU,Ecuador,LAM-M
SLV,El Salvador,LAM-M
GUF,French Guiana,LAM-M
GRD,Grenada,LAM-M
GLP,Guadeloupe,LAM-M
GUY,Guyana,LAM-M
JAM,Jamaica,LAM-M
MTQ,Martinique,LAM-M
ANHH,Netherlands Antilles,LAM-M
PAN,Panama,LAM-M
PRY,Paraguay,LAM-M
PER,Peru,LAM-M
KNA,St. Kitts & Nevis,LAM-M
LCA,St. Lucia,LAM-M
VCT,St. Vincent & Grenadines,LAM-M
SUR,Suriname,LAM-M
TTO,Trinidad & Tobago,LAM-M
URY,Uruguay,LAM-M
VEN,Venezuela,LAM-M
BHR,Bahrain,MEA-H
ISR,Israel,MEA-H
KWT,Kuwait,MEA-H
OMN,Oman,MEA-H
QAT,Qatar,MEA-H
SAU,Saudi Arabia,MEA-H
ARE,United Arab Emirates,MEA-H
IRN,Iran,MEA-M
IRQ,Iraq,MEA-M
JOR,Jordan,MEA-M
LBN,Lebanon,MEA-M
