Code,Name,Member-Since
AUT,Austria,1995-01-01
BEL,Belgium,1958-01-01
BGR,Bulgaria,2007-01-01
HRV,Croatia,2013-07-01
CYP,Cyprus,2004-05-01
CZE,Czechia,2004-05-01
DNK,Denmark,1973-01-01
EST,Estonia,2004-05-01
FIN,Finland,1995-01-01
FRA,France,1958-01-01
DEU,Germany,1958-01-01
GRC,Greece,1981-01-01
HUN,Hungary,2004-05-01
IRL,Ireland,1973-01-01
ITA,Italy,1958-01-01
LVA,Latvia,2004-05-01
LTU,Lithuania,2004-05-01
LUX,Luxembourg,1958-01-01
MLT,Malta,2004-05-01
NLD,Netherlands,1958-01-01
POL,Poland,2004-05-01
PRT,Portugal,1986-01-01
ROU,Romania,2007-01-01
SVK,Slovakia,2004-05-01
SVN,Slovenia,2004-05-01
ESP,Spain,1986-01-01
SWE,Sweden,1995-01-01
