Code,Name,Signature,Ratification-Acceptance-Accession-Approval-Succession,Kind
AFG,Afghanistan,1992-06-12,2002-09-19,Ratification
ALB,Albania,,1994-10-03,Accession
DZA,Algeria,1992-06-13,1993-06-09,Ratification
AND,Andorra,,2011-03-02,Accession
AGO,Angola,1992-06-14,2000-05-17,Ratification
ATG,Antigua & Barbuda,1992-06-04,1993-02-02,Ratification
ARG,Argentina,1992-06-12,1994-03-11,Ratification
ARM,Armenia,1992-06-13,1993-05-14,Acceptance
AUS,Australia,1992-06-04,1992-12-30,Ratification
AUT,Austria,1992-06-08,1994-02-28,Ratification
AZE,Azerbaijan,1992-06-12,1995-05-16,Ratification
BHS,Bahamas,1992-06-12,1994-03-29,Ratification
BHR,Bahrain,1992-06-08,1994-12-28,Ratification
BGD,Bangladesh,1992-06-09,1994-04-15,Ratification
BRB,Barbados,1992-06-12,1994-03-23,Ratification
BLR,Belarus,1992-06-11,2000-05-11,Approval
BEL,Belgium,1992-06-04,1996-01-16,Ratification
BLZ,Belize,1992-06-13,1994-10-31,Ratification
BEN,Benin,1992-06-13,1994-06-30,Ratification
BTN,Bhutan,1992-06-11,1995-08-25,Ratification
BOL,Bolivia,1992-06-10,1994-10-03,Ratification
BIH,Bosnia & Herzegovina,,2000-09-07,Accession
BWA,Botswana,1992-06-12,1994-01-27,Ratification
BRA,Brazil,1992-06-04,1994-02-28,Ratification
BRN,Brunei,,2007-08-07,Accession
BGR,Bulgaria,1992-06-05,1995-05-12,Ratification
BFA,Burkina Faso,1992-06-12,1993-09-02,Ratification
BDI,Burundi,1992-06-11,1997-01-06,Ratification
CPV,Cabo Verde,1992-06-12,1995-03-29,Ratification
KHM,Cambodia,,1995-12-18,Accession
CMR,Cameroon,1992-06-14,1994-10-19,Ratification
CAN,Canada,1992-06-12,1992-12-04,Ratification
CAF,Central African Republic,1992-06-13,1995-03-10,Ratification
TCD,Chad,1992-06-12,1994-06-07,Ratification
CHL,Chile,1992-06-13,1994-12-22,Ratification
CHN,China,1992-06-11,1993-01-05,Ratification
COL,Colombia,1992-06-13,1995-03-22,Ratification
COM,Comoros,1992-06-11,1994-10-31,Ratification
COG,Republic of the Congo,1992-06-12,1996-10-14,Ratification
COK,Cook Islands,1992-06-12,1993-04-20,Ratification
CRI,Costa Rica,1992-06-13,1994-08-26,Ratification
CIV,Côte d’Ivoire,1992-06-10,1994-11-29,Ratification
HRV,Croatia,1992-06-11,1996-04-08,Acceptance
CUB,Cuba,1992-06-13,1994-01-05,Ratification
CYP,Cyprus,1992-06-12,1997-10-15,Ratification
CZE,Czechia,1993-06-18,1993-10-07,Approval
PRK,North Korea,1992-06-11,1994-12-05,Approval
COD,DR Congo,1992-06-11,1995-01-09,Ratification
DNK,Denmark,1992-06-09,1993-12-21,Ratification
DJI,Djibouti,1992-06-12,1995-08-27,Ratification
DMA,Dominica,,1993-06-21,Accession
DOM,Dominican Republic,1992-06-12,1998-10-07,Ratification
ECU,Ecuador,1992-06-09,1993-02-23,Ratification
EGY,Egypt,1992-06-09,1994-12-05,Ratification
SLV,El Salvador,1992-06-13,1995-12-04,Ratification
GNQ,Equatorial Guinea,,2000-08-16,Accession
ERI,Eritrea,,1995-04-24,Accession
EST,Estonia,1992-06-12,1994-07-27,Ratification
SWZ,Eswatini,1992-06-12,1996-10-07,Ratification
ETH,Ethiopia,1992-06-10,1994-04-05,Ratification
EUU,European Union,1992-06-13,1993-12-21,Approval
FJI,Fiji,1992-10-09,1993-02-25,Ratification
FIN,Finland,1992-06-04,1994-05-03,Acceptance
FRA,France,1992-06-13,1994-03-25,Ratification
GAB,Gabon,1992-06-12,1998-01-21,Ratification
GMB,Gambia,1992-06-12,1994-06-10,Ratification
GEO,Georgia,,1994-07-29,Accession
DEU,Germany,1992-06-12,1993-12-09,Ratification
GHA,Ghana,1992-06-12,1995-09-06,Ratification
GRC,Greece,1992-06-12,1994-08-04,Ratification
GRD,Grenada,1992-12-03,1994-08-11,Ratification
GTM,Guatemala,1992-06-13,1995-12-15,Ratification
GIN,Guinea,1992-06-12,1993-05-07,Ratification
GNB,Guinea-Bissau,1992-06-12,1995-10-27,Ratification
GUY,Guyana,1992-06-13,1994-08-29,Ratification
HTI,Haiti,1992-06-13,1996-09-25,Ratification
HND,Honduras,1992-06-13,1995-10-19,Ratification
HUN,Hungary,1992-06-13,1994-02-24,Ratification
ISL,Iceland,1992-06-04,1993-06-16,Ratification
IND,India,1992-06-10,1993-11-01,Ratification
IDN,Indonesia,1992-06-05,1994-08-23,Ratification
IRN,Iran,1992-06-14,1996-07-18,Ratification
IRQ,Iraq,,2009-07-28,Accession
IRL,Ireland,1992-06-13,1994-04-20,Ratification
ISR,Israel,1992-06-04,1996-06-04,Ratification
ITA,Italy,1992-06-05,1994-04-15,Ratification
JAM,Jamaica,1992-06-12,1995-01-06,Ratification
JPN,Japan,1992-06-13,1993-05-28,Acceptance
JOR,Jordan,1992-06-11,1993-11-12,Ratification
KAZ,Kazakhstan,1992-06-08,1995-05-17,Ratification
KEN,Kenya,1992-06-12,1994-08-30,Ratification
KIR,Kiribati,1992-06-13,1995-02-07,Ratification
KWT,Kuwait,,1994-12-28,Accession
KGZ,Kyrgyzstan,,2000-05-25,Accession
LAO,Laos,,1995-01-04,Accession
LVA,Latvia,1992-06-11,1995-03-23,Ratification
LBN,Lebanon,1992-06-12,1994-12-15,Ratification
LSO,Lesotho,1992-06-11,1995-02-07,Ratification
LBR,Liberia,1992-06-12,2002-11-05,Ratification
LBY,Libya,1992-06-29,1999-06-14,Ratification
LIE,Liechtenstein,1992-06-04,1994-06-22,Ratification
LTU,Lithuania,1992-06-11,1995-03-24,Ratification
LUX,Luxembourg,1992-06-09,1994-05-09,Ratification
MDG,Madagascar,1992-06-10,1999-06-02,Ratification
MWI,Malawi,1992-06-10,1994-04-21,Ratification
MYS,Malaysia,1993-06-09,1994-07-13,Ratification
MDV,Maldives,1992-06-12,1992-11-09,Ratification
MLI,Mali,1992-09-30,1994-12-28,Ratification
MLT,Malta,1992-06-12,1994-03-17,Ratification
MHL,Marshall Islands,1992-06-12,1992-10-08,Ratification
MRT,Mauritania,1992-06-12,1994-01-20,Ratification
MUS,Mauritius,1992-06-10,1992-09-04,Ratification
MEX,Mexico,1992-06-13,1993-03-11,Ratification
FSM,Micronesia,1992-06-12,1993-11-18,Ratification
MCO,Monaco,1992-06-11,1992-11-20,Ratification
MNG,Mongolia,1992-06-12,1993-09-30,Ratification
MNE,Montenegro,,2006-10-23,Succession
MAR,Morocco,1992-06-13,1995-12-28,Ratification
MOZ,Mozambique,1992-06-12,1995-08-25,Ratification
MMR,Myanmar,1992-06-11,1994-11-25,Ratification
NAM,Namibia,1992-06-12,1995-05-16,Ratification
NRU,Nauru,1992-06-08,1993-11-11,Ratification
NPL,Nepal,1992-06-12,1994-05-02,Ratification
NLD,Netherlands,1992-06-04,1993-12-20,Acceptance
NZL,New Zealand,1992-06-04,1993-09-16,Ratification
NIC,Nicaragua,1992-06-13,1995-10-31,Ratification
NER,Niger,1992-06-11,1995-07-25,Ratification
NGA,Nigeria,1992-06-13,1994-08-29,Ratification
NIU,Niue,,1996-02-28,Accession
MKD,North Macedonia,,1998-01-28,Accession
NOR,Norway,1992-06-04,1993-07-09,Ratification
OMN,Oman,1992-06-11,1995-02-08,Ratification
PAK,Pakistan,1992-06-13,1994-06-01,Ratification
PLW,Palau,,1999-12-10,Accession
PAN,Panama,1993-03-18,1995-05-23,Ratification
PNG,Papua New Guinea,1992-06-13,1993-03-16,Ratification
PRY,Paraguay,1992-06-12,1994-02-24,Ratification
PER,Peru,1992-06-12,1993-06-07,Ratification
PHL,Philippines,1992-06-12,1994-08-02,Ratification
POL,Poland,1992-06-05,1994-07-28,Ratification
PRT,Portugal,1992-06-13,1993-12-21,Ratification
QAT,Qatar,,1996-04-18,Accession
KOR,South Korea,1992-06-13,1993-12-14,Ratification
MDA,Moldova,1992-06-12,1995-06-09,Ratification
ROU,Romania,1992-06-05,1994-06-08,Ratification
RUS,Russia,1992-06-13,1994-12-28,Ratification
RWA,Rwanda,1992-06-10,1998-08-18,Ratification
WSM,Samoa,1992-06-12,1994-11-29,Ratification
SMR,San Marino,1992-06-10,1994-10-28,Ratification
STP,São Tomé & Príncipe,1992-06-12,1999-09-29,Ratification
SAU,Saudi Arabia,,1994-12-28,Accession
SEN,Senegal,1992-06-13,1994-10-17,Ratification
SRB,Serbia,,2001-03-12,Accession
SYC,Seychelles,1992-06-10,1992-09-22,Ratification
SLE,Sierra Leone,1993-02-11,1995-06-22,Ratification
SGP,Singapore,1992-06-13,1997-05-29,Ratification
SVK,Slovakia,1993-05-19,1994-08-25,Approval
SVN,Slovenia,1992-06-13,1995-12-01,Ratification
SLB,Solomon Islands,1992-06-13,1994-12-28,Ratification
SOM,Somalia,,2009-09-11,Accession
ZAF,South Africa,1993-06-15,1997-08-29,Ratification
SSD,South Sudan,,2014-02-17,Accession
ESP,Spain,1992-06-13,1993-12-21,Ratification
LKA,Sri Lanka,1992-06-10,1993-11-23,Ratification
KNA,St. Kitts & Nevis,1992-06-12,1993-01-07,Ratification
LCA,St. Lucia,1993-06-14,1993-06-14,Ratification
VCT,St. Vincent & Grenadines,,1996-12-02,Accession
PSE,Palestine,,2015-12-18,Accession
SDN,Sudan,1992-06-09,1993-11-19,Ratification
SUR,Suriname,1992-06-13,1997-10-14,Ratification
SWE,Sweden,1992-06-08,1993-06-23,Ratification
CHE,Switzerland,1992-06-12,1993-12-10,Ratification
SYR,Syria,,1996-01-04,Accession
TJK,Tajikistan,,1998-01-07,Accession
THA,Thailand,1992-06-12,1994-12-28,Ratification
TLS,Timor-Leste,,2006-10-10,Accession
TGO,Togo,1992-06-12,1995-03-08,Acceptance
TON,Tonga,,1998-07-20,Accession
TTO,Trinidad & Tobago,1992-06-11,1994-06-24,Ratification
TUN,Tunisia,1992-06-13,1993-07-15,Ratification
TUR,Turkey,,2004-02-24,Accession
TKM,Turkmenistan,,1995-06-05,Accession
TUV,Tuvalu,1992-06-08,1993-10-26,Ratification
UGA,Uganda,1992-06-13,1993-09-08,Ratification
UKR,Ukraine,1992-06-11,1997-05-13,Ratification
ARE,United Arab Emirates,,1995-12-29,Accession
GBR,United Kingdom,1992-06-12,1993-12-08,Ratification
TZA,Tanzania,1992-06-12,1996-04-17,Ratification
USA,USA,1992-06-12,1992-10-15,Ratification
URY,Uruguay,1992-06-04,1994-08-18,Ratification
UZB,Uzbekistan,,1993-06-20,Accession
VUT,Vanuatu,1992-06-09,1993-03-25,Ratification
VEN,Venezuela,1992-06-12,1994-12-28,Ratification
VNM,Vietnam,1992-06-11,1994-11-16,Ratification
YEM,Yemen,1992-06-12,1996-02-21,Ratification
ZMB,Zambia,1992-06-11,1993-05-28,Ratification
ZWE,Zimbabwe,1992-06-12,1992-11-03,Ratification
